"[Category]|[CyrillicCode]|[EnglishName]|[GOST767RegionID]|[ISOAlpha2]|[ISOAlpha3]|[ISONumericCode]|[Name]" 
Область|РОФ-САХ|Sakhalin obl.|65|NULL|RU-SAK|643-552|Сахалинская область
Область|РОФ-СВЕ|Sverdlovsk obl.|66|NULL|RU-SVE|643-558|Свердловская область
Область|РОФ-СМО|Smolensk obl.|67|NULL|RU-SMO|643-564|Смоленская область
Край|РОФ-СТА|Stavrobol kray|68|NULL|RU-STA|643-570|Ставропольский край
Область|РОФ-ТАМ|Tambov obl.|69|NULL|RU-TAM|643-576|Тамбовская область
Область|РОФ-ТВЕ|Tver obl.|70|NULL|RU-TVE|643-582|Тверская область
Область|РОФ-ТОМ|Tomsk obl.|71|NULL|RU-TOM|643-588|Томская область
Область|РОФ-ТУЛ|Tula obl.|72|NULL|RU-TUL|643-594|Тульская область
Область|РОФ-ТЮМ|Tyumen obl.|73|NULL|RU-TYU|643-600|Тюменская область
Область|РОФ-УЛЬ|Ulyanovsk obl.|74|NULL|RU-ULY|643-606|Ульяновская область
Край|РОФ-ХАБ|Khabarovsk kray|75|NULL|RU-KHK|643-612|Хабаровский край
Область|РОФ-ЧЕЛ|Chelyabinsk obl.|76|NULL|RU-CHE|643-618|Челябинская область
Область|РОФ-ЧИТ|Chita obl.|77|NULL|RU-CHI|643-624|Читинская область
Область|РОФ-ЯРО|Yaroslavl obl.|78|NULL|RU-YAR|643-630|Ярославская область
Автономная область|РОФ-ЕВР|Jewish a.o.|79|NULL|RU-JEW|643-701|Еврейская а.о.
Автономный округ|РОФ-АГИ|Aginsk Buryat aut.okr.|80|NULL|RU-AGB|643-712|Агинский Бурятский автономный округ
Автономный округ|РОФ-КОП|Komi-Permyatski aut. okr.|81|NULL|RU-KIM|643-718|Коми-Пермяцкий автономный округ
Автономный округ|РОФ-КОР|Koryak aut. okr.|82|NULL|RU-KOR|643-724|Корякский автономный округ
Автономный округ|РОФ-НЕН|Nenets aut. okg.|83|NULL|RU-NEN|643-730|Ненецкий автономный округ
Автономный округ|РОФ-ТАЙ|Taimyr (Dolgano-Nenets) aut. okr.|84|NULL|RU-TAY|643-736|Таймырский (Долгано-Ненецкий) автономный округ
Автономный округ|РОФ-УСТ|Ust-Ordyn Buryat aut. okr.|85|NULL|RU-UOB|643-742|Усть-Ордынский автономный округ
Автономный округ|РОФ-ХАН|Khanty-Mansijsk aut. okr.|86|NULL|RU-KIR|643-748|Ханты-Мансийский автономный округ
Автономный округ|РОФ-ЧУК|Chukotka aut. okr.|87|NULL|RU-CHU|643-754|Чукотский автономный округ
Автономный округ|РОФ-ЭВЕ|Evenk aut. okr.|88|NULL|RU-EVE|643-760|Эвенкийский автономный округ
Автономный округ|РОФ-ЯМА|Yamalo-Nenets aut. okr.|89|NULL|RU-YAN|643-766|Ямало-Ненецкий автономный округ
Край|РОФ-ЗАБ|Zabaykalskiy kray|90|NULL|RU-ZAB|643-772|Забайкальский край
