"[ISOAlpha3]|[ISONumericCode]|[Name]|[OKVID]|[ShortCountryName]" 
RSD|941|Сербский динар|139|Сербия   
MZN|943|Метикал|140|Мозамбик    
AZN|944|Азербайджанский манат|141|Азербайджан    
RON|946|Новый лей|142|Румыния
TRY|949|Турецкая лира|143|Турция    
XAF|950|Франк КФА ВЕАС|144|Габон; Камерун; Конго; Центрально-Африканская Республика; Чад; Экваториальная Гвинея 
XCD|951|Восточно-карибский доллар|145|Ангилья; Антигуа и Барбуда; Гренада; Доминика; Монтсеррат; Сент-Винсент и Гренадины; Сент-Китс и Невис; Сент-Люсия
XOF|952|Франк КФА ВСЕАО|146|Бенин; Буркина-Фасо; Гвинея-Бисау; Кот д'Ивуар; Мали; Нигер; Сенегал; Того  
XPF|953|Франк КФП|147|Новая Каледония; Французская Полинезия; Уоллис и Футуна
XDR|960|СДР (специальные права заимствования)|148|Международный валютный фонд (МВФ)
SRD|968|Суринамский доллар|149|Суринам
MGA|969|Малагасийский ариари|150|Мадагаскар
COU|970|Единица реальной стоимости|151|Колумбия 
AFN|971|Афгани|152|Афганистан
TJS|972|Сомони|153|Таджикистан
AOA|973|Кванза|154|Ангола
BYR|974|Белорусский рубль|155|Беларусь
BGN|975|Болгарский лев|156|Болгария
CDF|976|Конголезский франк|157|Конго, демократическая республика
BAM|977|Конвертируемая марка|158|Босния и Герцеговина
EUR|978|Евро|159|Австрия; Андорра; Бельгия; Гваделупа; Германия; Греция; Ирландия; Исландия; Испания; Италия; Кипр; Люксембург; Майотта; Мальта; Мартиника; Монако; Нидерланды; Папский Престол (Государство-город Ватикан); Португалия; Реюньон; Сан-Марино; Сен-Бартелеми; Сен
UAH|980|Гривна|160|Украина
GEL|981|Лари|161|Грузия
PLN|985|Злотый|162|Польша
BRL|986|Бразильский реал|163|Бразилия
