[Code]|[ControlNumber]|[Name]|[OKPID]
26 4200|1|Стандарт-титры, индикаторы, бумаги реактивные и индикаторные, фильтры бумажные|8891
26 4210|6|Стандарт-титры, индикаторы, бумаги реактивные и индикаторные|8892
26 4211|1|Стандарт-титры|8893
26 4212|7|Индикаторы в мелкой фасовке|8894
26 4213|2|Бумаги реактивные и индикаторные|8895
26 4220|0|Фильтры /|8896
26 4221|6|- обеззоленные|8897
26 4222|1|- зольные|8898
26 4223|7|- обезжиренные|8899
26 4300|5|Наборы химических реактивов|8900
26 4310|9|Наборы химических реактивов / специализированные|8901
26 4311|5|- для школ|8902
26 4312|0|- для лечебно-медицинских учреждений|8903
26 4313|6|- для сельского хозяйства|8904
26 4314|1|- для ветеринарно-бактериологических лабораторий|8905
26 4315|7|- для хроматографического анализа|8906
26 4319|9|- специализированные прочие|8907
26 4320|4|Наборы фотохимикатов /|8908
26 4321|2|- для обработки черно-белых светочувствительных материалов|8909
26 4322|5|- для обработки цветной аэропленки|8910
26 5000|7|Материалы сцинтилляционные и монокристаллы, заготовки и изделия на их основе, соединения химические для монокристаллов|8911
26 5100|0|Материалы сцинтилляционные и изделия на их основе|8912
26 5110|5|Детекторы ионизирующих излучений сцинтилляционные|8913
26 5120|9|Блоки сцинтилляционные (сцинтиблоки)|8914
26 5130|4|Материалы сцинтилляционные|8915
26 5140|9|Экраны сцинтилляционные|8916
26 5200|4|Элементы активные лазерные и заготовки для них|8917
26 5210|9|Элементы активные лазерные|8918
26 5220|3|Заготовки элементов активных лазерных|8919
26 5300|8|Монокристаллы, блоки, заготовки и оптические элементы устройств управления лазерным излучением|8920
26 5310|2|Монокристаллы, блоки, заготовки устройств управления лазерным излучением|8921
26 5320|7|Элементы оптические устройств управления лазерным излучением|8922
26 5400|1|Заготовки и изделия оптические|8923
26 5410|6|Заготовки оптические из монокристаллов|8924
26 5420|0|Изделия на основе оптических монокристаллов|8925
26 5500|5|Монокристаллы корунда и шпинели, изделия конструкционные и заготовки из монокристаллов и других материалов|8926
26 5510|4|Монокристаллы корунда, шпинели|8927
26 5520|4|Изделия конструкционные|8928
26 5600|9|Элементы, заготовки и монокристаллы для ультразвуковых линий задержки; сверхпроводящие высокотемпературные материалы|8929
26 5610|3|Элементы, заготовки и монокристаллы для ультразвуковых линий задержки|8930
26 5620|8|Материалы сверхпроводящие высокотемпературные и изделия из них|8931
26 5700|2|Соединения химические для монокристаллов|8932
26 5710|7|Шихта и активатор для получения монокристаллов|8933
26 5720|1|Соединения химические для различных методов выращивания монокристаллов|8934
26 5790|3|Соединения химические для монокристаллов прочие|8935
26 6000|5|Люминофоры, люминоры, ферриты, материалы сегнето- и пьезоэлектрические|8936
26 6100|3|Люминофоры|8937
26 6110|8|Люминофоры ламповые|8938
26 6120|2|Катодолюминофоры|8939
26 6130|7|Электролюминофоры|8940
26 6140|1|Рентгенолюминофоры|8941
26 6150|6|Люминофоры для светящихся красок и сульфидные (типа ФКП)|8942
26 6200|7|Люминофоры органические (люминофоры) и люминесцентные материалы на их основе|8943
26 6210|1|Люминоры|8944
26 6220|6|Люмопигменты|8945
26 6230|0|Материалы люминесцентные для дефектоскопии|8946
26 6240|5|Материалы вспомогательные для получения люминесцентных композиций|8947
26 6290|8|Люминофоры органические и материалы люминесцентные прочие|8948
26 6300|0|Порошки ферритовые|8949
26 6310|5|Порошки ферритовые массового применения|8950
26 6400|4|Материалы для пьезокерамики, для конденсаторной и сегнетокерамики|8951
26 6410|9|Материалы для пьезокерамики|8952
26 6420|3|Материалы для конденсаторной керамики|8953
26 6430|8|Материалы для сегнетокерамики|8954
29 0000|9|ИСПОЛНИТЕЛЬНЫЕ МЕХАНИЗМЫ, УСТРОЙСТВА И ДЕТАЛИ СУДОВЫХ СИСТЕМ И ТРУБОПРОВОДОВ|8955
29 1000|1|Арматура ручная судовая|8956
29 1100|5|Клапаны и клапанные коробки запорные|8957
29 1200|9|Клапаны и клапанные коробки невозвратно- запорные и невозвратно-управляемые|8958
29 1300|2|Клапаны переключающие и манипуляторы|8959
29 1400|6|Клапаны регулирующие и дроссельные|8960
29 1500|0|Кингстоны и клапаны бортовые|8961
29 1600|3|Задвижки и захлопки|8962
29 1700|7|Заслонки и затворы дисковые поворотные|8963
29 1800|0|Краны и затворы шаровые поворотные|8964
29 1900|4|Арматура специальная судовая|8965
29 2000|4|Арматура дистанционно-управляемая судовая|8966
29 2100|8|Клапаны и клапанные коробки запорные с дистанционным управлением|8967
29 2200|1|Клапаны и клапанные коробки невозвратно- запорные и невозвратно-управляемые с дистанционным управлением|8968
29 2300|5|Клапаны переключающие и манипуляторы с дистанционным управлением|8969
29 2400|9|Клапаны регулирующие и дроссельные с дистанционным управлением|8970
29 2500|2|Кингстоны и клапаны бортовые с дистанционным управлением|8971
29 2600|6|Задвижки и захлопки с дистанционным управлением|8972
29 2700|6|Заслонки и затворы дисковые поворотные с дистанционным управлением|8973
29 2800|3|Краны и затворы шаровые поворотные с дистанционным управлением|8974
29 2900|7|Арматура специальная судовая с дистанционным управлением|8975
29 3000|7|Арматура автоматическая судовая|8976
29 3100|0|Клапаны-отсекатели автоматические|8977
29 3200|4|Клапаны невозвратные и невозвратно-приемные автоматические|8978
29 3300|8|Клапаны переключающие и манипуляторы автоматические|8979
29 3400|1|Клапаны регулирующие и дроссельные автоматические|8980
29 3500|5|Клапаны предохранительные, дыхательные и подпорные автоматические|8981
29 3600|9|Клапаны редукционные автоматические|8982
29 3700|2|Заслонки и захлопки автоматические|8983
29 3900|1|Конденсатоотводчики, вантузы автоматические и др.|8984
29 4000|7|Устройства судовых систем и трубопроводов|8985
29 4100|3|Устройства сточные|8986
29 4200|7|Устройства мерные (водоуказатели, футштоки и др.)|8987
29 4300|0|Устройства наливные и очистительные (воронки, сетки и др.)|8988
29 4400|4|Устройства противопожарные судовые|8989
29 4500|8|Устройства управления и крепления (передачи, тяги и др.)|8990
29 4600|1|Устройства систем вентиляции судовые|8991
29 4700|5|Головки воздушные баллонов и цистерн|8992
29 4900|2|Переговорные трубы, сирены, водозаборники и др.|8993
29 5000|2|Соединения судовых систем и трубопроводов|8994
29 5100|6|Соединения фланцевые|8995
29 5200|2|Соединения штуцерные|8996
29 5400|7|Соединения насыщения паропроводные|8997
29 5500|0|Части фасонные (колена, тройники, патрубки и др.)|8998
29 5600|4|Соединения судовых систем вентиляции|8999
29 5900|5|Соединения рукавные, хомутовые и др.|9000
29 7000|8|Узлы судовой арматуры в сборе|9001
29 7100|1|Корпуса клапанов, кингстонов, приводов и др. в сборе|9002
29 7200|5|Крышки клапанов, кингстонов, приводов и др. в сборе|9003
29 7300|9|Затворы, золотники, диски и др. в сборе|9004
29 7400|2|Валы, шпиндели и др. в сборе. Сильфоны|9005
29 7500|6|Рычаги, шатуны, маховики приводов в сборе|9006
29 7600|3|Приводы|9007
29 7900|0|Узлы судовой арматуры прочие|9008
29 8000|0|Детали судовой арматуры|9009
29 8100|4|Корпуса клапанов и кингстонов|9010
29 8200|8|Крышки клапанов, кингстонов, приводов и др.|9011
29 8300|1|Затворы, золотники, диски и др.|9012
29 8400|5|Валы, шпиндели и др.|9013
29 8500|9|Втулки|9014
29 8600|2|Корпуса затворов, кранов, приводов и др.|9015
29 8900|3|Обтекатели, седла и др.|9016
29 9000|3|Детали судовой арматуры (2)|9017
29 9100|7|Шестерни, червяки, колеса и др.|9018
29 9200|0|Рычаги, тяги, рукоятки, муфты и др.|9019
29 9300|4|Пружины, тарелки и др.|9020
29 9400|8|Уплотнения, кольца, прокладки, мембраны и др.|9021
29 9500|1|Указатели, стопоры, держатели и др.|9022
29 9600|5|Кронштейны, опоры, амортизаторы и др.|9023
29 9900|6|Детали судовой арматуры прочие|9024
31 0000|5|ПРОДУКЦИЯ ТЯЖЕЛОГО, ЭНЕРГЕТИЧЕСКОГО И ТРАНСПОРТНОГО МАШИНОСТРОЕНИЯ|9025
31 1000|8|Оборудование энергетическое|9026
31 1001|3|Турбины паровые энергетические для электростанций по именному перечню *|9027
31 1007|6|Турбины паровые мощностью 12,0 тыс. кВт *|9028
31 1009|7|Турбины паровые мощностью 18,0 тыс. кВт *|9029
31 1011|8|Турбины паровые мощностью 22,0 тыс. кВт *|9030
31 1014|4|Турбины паровые мощностью 50,0 тыс. кВт *|9031
31 1015|0|Турбины паровые мощностью 60,0 тыс. кВт *|9032
31 1016|5|Турбины паровые мощностью 80,0 тыс. кВт *|9033
31 1017|0|Турбины паровые мощностью 100,0 тыс. кВт *|9034
31 1019|1|Турбины паровые мощностью 160,0 тыс. кВт *|9035
31 1021|2|Турбины паровые мощностью 200,0 тыс. кВт *|9036
31 1024|9|Турбины паровые мощностью 300,0 тыс. кВт *|9037
31 1025|4|Турбины паровые мощностью 500,0 тыс. кВт *|9038
31 1026|3|Турбины паровые мощностью 800,0 тыс. кВт *|9039
31 1029|6|Турбины газовые энергетические для электростанций по именному перечню *|9040
31 1033|8|Турбины газовые мощностью 6,0 тыс. кВт *|9041
31 1035|9|Турбины газовые мощностью 10,0 тыс. кВт *|9042
31 1036|4|Турбины газовые мощностью 12,0 тыс. кВт *|9043
31 1039|0|Турбины газовые прочие *|9044
31 1041|1|Турбины гидравлические для электростанций по именному перечню *|9045
31 1043|2|Турбины гидравлические мощностью 22,0 тыс. кВт *|9046
31 1061|0|Котлы паровые производительностью от 2,5 т пара/ч до 10 т пара/ч (типа ДКВР) *|9047
31 1085|1|Котлы паровые производительностью св. 10 т пара/ч по именному перечню *|9048
31 1095|6|Котлы-утилизаторы по именному перечню *|9049
31 1097|7|Нагнетатели по именному перечню *|9050
31 1100|1|Турбины|9051
31 1110|6|Турбины паровые /|9052
31 1111|1|- энергетические (турбины паровые стационарные для привода электрических генераторов)|9053
31 1112|7|- приводные|9054
31 1114|8|Пародинамо, паровые машины|9055
31 1115|3|Турбины паровые для атомных электростанций|9056
31 1120|0|Установки газотурбинные / (турбины газовые)|9057
31 1121|6|- энергетические|9058
31 1122|1|- приводные|9059
31 1124|2|- утилизационные|9060
31 1125|8|- технологические|9061
31 1130|5|Нагнетатели /|9062
31 1131|0|- природного газа|9063
31 1140|8|Турбины гидравлические /|9064
31 1141|5|- мощностью до 10 тыс. кВт|9065
31 1142|0|- мощностью 10 тыс. кВт и свыше|9066
31 1146|2|Затворы для гидротурбин|9067
31 1147|8|Облицовка элементов проточных частей гидротурбин|9068
31 1148|3|Закладные части к гидротурбинам|9069
31 1160|9|Установки парогазовые /|9070
31 1161|4|- стационарные энергетические на органическом топливе|9071
31 1200|5|Котлы|9072
31 1210|4|Котлы паровые производительностью / от 0,1 до 10 т пара/ч включ.|9073
31 1211|5|- от 0,1 до 1,0 т пара/ч включ.|9074
31 1212|0|- от 2,5 до 10 т пара/ч включ.|9075
31 1230|9|Котлы паровые производительностью / св. 10 т пара/ч|9076
31 1231|4|- св. 10 до 20 т пара/ч включ.|9077
31 1232|1|- св. 20 до 100 т пара/ч включ.|9078
31 1233|5|- св. 100 до 1000 т пара/ч включ.|9079
31 1234|0|- св. 1000 т пара/ч|9080
31 1270|7|Котлы-утилизаторы и энерготехнологические|9081
31 1271|2|Котлы-утилизаторы|9082
31 1272|8|Котлы энерготехнологические|9083
31 1273|3|Пароперегреватели центральные|9084
31 1280|1|Котлы теплофикационные водогрейные /|9085
31 1281|7|- производительностью до 11,63 МВт (10 Гкал/ч)|9086
31 1282|2|- производительностью от 11,63 МВт (10 Гкал/ч) и свыше|9087
31 1300|9|Трубопроводы, оборудование вспомогательное энергетическое|9088
31 1301|4|Оборудование энергетическое вспомогательное *|9089
31 1310|3|Трубопроводы /|9090
31 1311|9|- станционные и турбинные на давление до 22 кгс/см2. Блоки трубопроводов на давление до 22 кгс/см2|9091
31 1312|4|- станционные и турбинные на давление 22 кгс/см2 и свыше. Блоки трубопроводов на давление 22 кгс/см2 и свыше|9092
31 1315|0|Компенсаторы трубопроводов|9093
31 1316|6|Колонки, приводы и их составные части|9094
31 1320|8|Оборудование водоочистки для энергетических установок|9095
31 1321|3|Фильтры воды|9096
31 1322|9|Солерастворители|9097
31 1323|4|Смесители напорные|9098
31 1324|5|Дозаторы шайбовые (для химических реагентов)|9099
31 1325|5|Распределители (для воды)|9100
31 1326|0|Декарбонизаторы|9101
31 1327|6|Оборудование для подготовки и контроля водного режима|9102
31 1330|2|Оборудование котельное|9103
31 1331|8|Аппараты обдувки поверхностей нагрева|9104
31 1332|3|Оборудование дробеочистки|9105
31 1333|9|Оборудование гидрозолоудаления|9106
31 1334|4|Установки возврата уноса|9107
31 1335|9|Запальники электрические|9108
31 1336|5|Сепараторы и расширители непрерывной и периодической продувки|9109
31 1337|0|Золоуловители батарейные|9110
31 1338|6|Циклоны для электростанций|9111
31 1340|7|Машины тягодутьевые|9112
31 1341|2|Дымососы и вентиляторы мелкие одностороннего всасывания с N 2,7 до N 13 (диаметров рабочего колеса до 1,3 м)|9113
31 1342|8|Дымососы и вентиляторы средние и крупные с N 13,5 и свыше (диаметром рабочего колеса от 1,3 м и свыше)|9114
31 1350|1|Оборудование теплообменное (цикл нагревания)|9115
31 1351|7|Подогреватели низкого давления|9116
31 1352|2|Подогреватели высокого давления|9117
31 1354|3|Подогреватели мазута (нефти)|9118
31 1355|9|Фильтры жидкого топлива и масел|9119
31 1356|4|Подогреватели сетевой воды|9120
31 1357|6|Установки паропреобразовательные|9121
31 1358|5|Испарители для электростанций|9122
31 1359|0|Теплообменники|9123
31 1360|6|Оборудование теплообменное (цикл охлаждения)|9124
31 1361|1|Охладители пара и воды|9125
31 1362|7|Установки редукционно-охладительные высокого и повышенного давления|9126
31 1370|0|Оборудование вспомогательное турбинное|9127
31 1371|6|Деаэраторы термические и баки деаэраторные|9128
31 1372|1|Баки питательные|9129
31 1373|7|Эжекторы|9130
31 1374|2|Конденсаторы|9131
31 1375|8|Регуляторы гидротурбин автоматические, установки для гидротурбин маслонапорные|9132
31 1377|9|Маслоподогреватели|9133
31 1378|4|Маслоохладители|9134
31 1379|3|Оборудование для отвода и сбора конденсата пара, предохранения турбины от попадания в нее воды, баки, промывочные устройства|9135
31 1380|5|Оборудование вспомогательное системы пылеприготовления|9136
31 1381|0|Сепараторы пылевые для электростанций|9137
31 1382|6|Клапаны "Мигалка"|9138
31 1383|1|Клапаны плотные|9139
31 1384|7|Сушилки топлива|9140
31 1385|2|Дробилки органического твердого топлива|9141
31 1388|9|Пылегазовоздухопроводы|9142
31 1389|4|Клапаны предохранительные|9143
31 1390|0|Элементы котлов и топочные устройства|9144
31 1391|5|Экономайзеры|9145
31 1392|0|Воздухоподогреватели трубчатые|9146
31 1393|6|Воздухоподогреватели регенеративные|9147
31 1394|1|Топки механические|9148
31 1395|7|Топки полумеханические|9149
31 1396|2|Топки ручные|9150
31 1397|8|Горелки|9151
31 1398|3|Форсунки|9152
31 1399|9|Барабаны и комплекты барабанов|9153
31 1400|2|Энергопоезда и передвижные установки|9154
31 1401|8|Деаэраторы повышенного давления с баками *|9155
31 1402|3|Деаэраторы атмосферные с охладителями выпара и баки деаэраторные *|9156
31 1410|7|Энергопоезда / паротурбинные и газотурбинные|9157
31 1411|2|- паротурбинные|9158
31 1412|8|- газотурбинные|9159
31 1420|1|Установки передвижные|9160
31 1421|7|Котловагоны для энергопоездов|9161
31 1422|2|Вагоны-градирни для энергопоездов|9162
31 1423|8|Вагоны-мастерские для энергопоездов служебные|9163
31 1424|3|Установки передвижные котельные|9164
31 1430|6|Электростанции дизельные на ж/д ходу /|9165
31 1431|1|- мощностью от 600 до 1000 кВт включ.|9166
31 1432|7|- мощностью св. 1000 до 2000 кВт включ.|9167
31 1433|2|- мощностью св. 2000 кВт|9168
31 1600|0|Оборудование энергетическое прочее|9169
31 1610|4|Оборудование гидросооружений|9170
31 1611|3|Гидрозатворы|9171
31 1614|6|Устройства очистные|9172
31 1619|3|Оборудование гидросооружений прочее|9173
31 1620|9|Трубонасосы для крупных энергоблоков|9174
31 1621|4|Трубонасосы питательные для стационарных котлов|9175
31 1630|3|Питатели /|9176
31 1631|9|- угля скребковые|9177
31 1632|4|- пыли лопастные|9178
31 1634|5|- угля комбинированные|9179
31 1640|8|Мельницы /|9180
31 1641|3|- шахтные|9181
31 1642|9|Мельницы-вентиляторы|9182
31 1650|2|Подъемники /|9183
31 1651|8|- системы Шевьева для углеподачи|9184
31 1652|3|- скреперные|9185
31 1690|0|Оборудование энергетическое различного назначения|9186
31 1700|3|Оборудование технологическое газоперекачивающих станций|9187
31 1900|0|Запасные части к оборудованию энергетическому|9188
31 2000|0|Дизели и дизель-генераторы|9189
31 2010|5|Дизели и дизель-генераторы (без автотракторных) *|9190
31 2011|0|Дизели и дизель-генераторы (товарный выпуск) *|9191
31 2020|4|Дизели с турбонаддувом *|9192
31 2021|5|Дизели с турбонаддувом без идущих на внутризаводскую комплектацию (товарный выпуск) *|9193
31 2040|9|Дизели типа Ч8,5/11 и Ч9,5/11 мощностью 6 - 60 л.с. *|9194
31 2050|3|Дизели типа Ч8,5/11 и Ч9,5/11 с электрогенераторами *|9195
31 2060|8|Дизели Ч8,5/11 и Ч9,5/11 судовые главные *|9196
31 2090|1|Запасные части к дизелям *|9197
31 2091|7|Регуляторы скорости для дизелей *|9198
31 2100|4|Дизели и дизель-генераторы с диаметром цилиндра до 120 мм включ.|9199
31 2102|5|Дизели типа Ч9,5/10 мощностью 16 - 75 л.с. *|9200
31 2105|1|Дизели типа Ч10,5/13 мощностью 40 л.с. *|9201
31 2107|2|Дизели типа Ч12/14 мощностью 70 - 180 л.с. *|9202
31 2108|8|Дизели типа Ч12/16 мощностью 13 л.с. *|9203
31 2200|8|Дизели и дизель-генераторы диаметром цилиндра св. 120 до 160 мм включ.|9204
31 2300|1|Дизели и дизель-генераторы с диаметром цилиндра св. 160 до 220 мм включ.|9205
31 2302|2|Дизели типа ЧН18/20 (М-50) мощностью 150 - 600 л.с.|9206
31 2303|8|Дизели типа Ч и ЧН18/22 мощностью 150 - 600 л.с.|9207
31 2305|9|Дизели типа Д20,7/2.25,4 (Д-100) мощностью 2000 - 3000 л.с. *|9208
31 2306|4|Дизели типа ЧН21/21 мощностью 630 - 750 л.с. *|9209
31 2400|5|Дизели и дизель-генераторы диаметром цилиндра св. 220 до 250 мм включ.|9210
31 2402|6|Дизели типа Ч23/30 мощностью 330 - 600 л.с. *|9211
31 2403|1|Дизели типа ДН23/30 мощностью 2000 - 3000 л.с. *|9212
31 2404|7|Дизели типа ДН23/2.30 мощностью 3500 - 8000 л.с. *|9213
31 2406|8|Дизели типа ЧН25/35 мощностью 300 - 500 л.с. *|9214
31 2500|9|Дизели и дизель-генераторы диаметром цилиндра св. 250 до 350 мм включ.|9215
31 2501|4|Дизели типа ЧН26/26 (Д-49) мощностью 1000 - 4000 л.с. *|9216
31 2504|0|Дизели типа Д30/50 мощностью 600 - 1000 л.с. *|9217
31 2505|6|Дизели типа ЧН31,8/33 (Д-50) мощностью 900 - 1200 л.с. *|9218
31 2600|2|Дизели и дизель-генераторы диаметром цилиндра св. 350 мм|9219
31 2603|9|Дизели типа Ч36/45 мощностью 600 - 1500 л.с. *|9220
31 2700|6|Дизели крейцкопфные|9221
31 2701|1|Дизели судовые главные типа ДКРН мощностью от 3500 л.с. и выше *|9222
31 2900|3|Комплектующие изделия дизелей и дизель- генераторов|9223
31 3000|3|Оборудование для черной и цветной металлургии|9224
31 3010|8|Оборудование металлургическое *|9225
31 3020|2|Оборудование прокатное (включая машины непрерывного литья заготовок) *|9226
31 3021|8|Оборудование прокатное по именному перечню *|9227
31 3022|3|Машины и оборудование непрерывного литья заготовок по именному перечню *|9228
31 3084|1|Оборудование технологическое для цветной металлургии *|9229
31 3100|7|Оборудование агломерационное (машины и механизмы окускования сырья)|9230
31 3110|1|Машины и механизмы подготовки шихты|9231
31 3111|7|Усреднители шихты|9232
31 3112|2|Дробилки|9233
31 3113|8|Грохоты|9234
31 3114|3|Смесители|9235
31 3115|9|Окомкователи и грануляторы|9236
31 3116|4|Распределители шихты для агломерата|9237
31 3120|6|Агрегаты, машины и механизмы производства агломерата и окатышей|9238
31 3121|1|Питатели|9239
31 3122|7|Укладчики|9240
31 3123|2|Машины агломерационные|9241
31 3124|8|Машины обжиговые|9242
31 3126|9|Дозаторы|9243
31 3127|4|Охладители|9244
31 3130|0|Оборудование обслуживания аглофабрик|9245
31 3131|6|Механизмы транспортирующие|9246
31 3200|0|Оборудование обогатительное|9247
31 3210|5|Оборудование для классификации (без лабораторного)|9248
31 3211|0|Грохоты и сита|9249
31 3212|6|Классификаторы|9250
31 3213|1|Машины промывочные|9251
31 3214|7|Обеспыливатели|9252
31 3216|8|Гидроциклоны|9253
31 3220|0|Оборудование для гравитационного, магнитного и электрического обогащения (без лабораторного)|9254
31 3221|5|Машины отсадочные|9255
31 3222|0|Установки осадительные и пульсаторы гидравлические|9256
31 3224|1|Столы концентрационные|9257
31 3225|7|Сепараторы|9258
31 3226|2|Аппараты намагничивающие и размагничивающие|9259
31 3228|3|Установки для обогащения геолого-разведочных проб|9260
31 3230|4|Оборудование для флотации (без лабораторного)|9261
31 3231|3|Машины флотационные|9262
31 3233|0|Перемешиватели и чаны контактные|9263
31 3235|1|Эмульгаторы и пульпоподъемники для пенных пульп|9264
31 3240|9|Оборудование для обезвоживания и пылеулавливания (без лабораторного)|9265
31 3241|4|Центрифуги|9266
31 3242|7|Сгустители|9267
31 3243|5|Отстойники|9268
31 3244|0|Дешламаторы|9269
31 3246|1|Циклоны и пылеуловители|9270
31 3247|7|Фильтры для угольных и рудных концентратов и шламов|9271
31 3250|3|Оборудование для разделения, отбора и приготовления проб (без лабораторного)|9272
31 3251|9|Машины проборазделочные и пробоотбиратели|9273
31 3252|4|Установки для определения породы и мелочи, отбора и разделки проб угля|9274
31 3253|0|Пульподелители и переключатели|9275
31 3254|5|Сократители проб|9276
31 3260|8|Питатели (без лабораторных)|9277
31 3261|3|Питатели реагентные|9278
31 3262|9|Питатели вибрационные с электромагнитным приводом|9279
31 3263|4|Питатели дисковые|9280
31 3264|4|Питатели качающиеся|9281
31 3265|5|Питатели пластинчатые|9282
31 3266|0|Устройства загрузочные|9283
31 3280|7|Оборудование лабораторное обогатительное|9284
31 3281|2|Оборудование для классификации лабораторное|9285
31 3282|8|Оборудование для гравитационного, магнитного и электрического обогащения лабораторное|9286
31 3283|3|Оборудование для флотации лабораторное|9287
31 3284|9|Оборудование для обезвоживания и пылеулавливания лабораторное|9288
31 3285|4|Оборудование для разделения, отбора и приготовления проб лабораторное|9289
31 3286|1|Питатели лабораторные|9290
31 3290|1|Запасные части к оборудованию обогатительному|9291
31 3300|4|Оборудование коксовое (машины и механизмы для производства кокса, без вагонов- опрокидывателей)|9292
31 3310|9|Машины и механизмы коксовых печей|9293
31 3311|4|Коксовыталкиватели|9294
31 3312|3|Машины двересъемные|9295
31 3313|5|Машины углезагрузочные|9296
31 3314|0|Механизмы коксовых печей|9297
31 3320|3|Машины и механизмы тушения кокса|9298
31 3321|9|Машины коксотушительные|9299
31 3322|4|Рампы коксовые механизированные|9300
31 3323|7|Механизмы загрузочные и выгрузочные сухого тушения кокса|9301
31 3324|5|Машины и механизмы подъемные и перемещающие|9302
31 3330|8|Арматура коксовых печей|9303
31 3331|3|Арматура, закладываемая в кладку|9304
31 3332|9|Арматура отопления коксовых печей|9305
31 3340|2|Машины и механизмы пекококсовых печей|9306
31 3341|8|Механизмы загрузочные пекококсовых печей|9307
31 3342|3|Коксовыталкиватели пекококсовых печей|9308
31 3343|9|Рампы коксовые механизированные пекококсовых печей|9309
31 3350|7|Механизмы технологического обслуживания коксовых печей|9310
31 3351|2|Устройства фильтрующие и очищающие|9311
31 3352|8|Устройства смачивающие|9312
31 3353|3|Механизмы для измерений и проб|9313
31 3354|9|Механизмы обслуживания коксовых печей|9314
31 3400|8|Оборудование доменное и сталеплавильное|9315
31 3401|3|Оборудование доменное *|9316
31 3402|9|Оборудование сталеплавильное *|9317
31 3410|2|Аппараты засыпные, распределители шихты, балансиры конусов и другие загрузочные механизмы|9318
31 3411|8|Аппараты засыпные|9319
31 3412|3|Распределители шихты|9320
31 3413|9|Балансиры конусов|9321
31 3414|4|Подвески конусов|9322
31 3415|0|Механизмы загрузочные|9323
31 3420|7|Машины и механизмы литейного двора, поддоменника, разливающие, транспортирования, толкающие, раздевания слитков (без кранов)|9324
31 3421|2|Машины и механизмы литейного двора и поддоменника|9325
31 3422|8|Машины для разливки и транспортирования чугуна, стали и шлака|9326
31 3423|3|Машины и механизмы толкающие и выталкивающие, раздевающие слитки|9327
31 3424|9|Машины для забивки, вскрытия и ремонта футляра чугунной (шлаковой) летки|9328
31 3425|4|Машины и механизмы для измерений и проб|9329
31 3426|4|Механизмы вспомогательные|9330
31 3430|1|Арматура воздухонагревателей, пылеуловителей, газопроводов грязного газа|9331
31 3431|7|Арматура воздухонагревателей|9332
31 3432|2|Клапаны и задвижки доменных печей (шиберы горячего дутья)|9333
31 3433|8|Горелки газовые|9334
31 3434|3|Оборудование пылеуловителей|9335
31 3435|9|Арматура газоочистная|9336
31 3437|8|Арматура водоочистная|9337
31 3440|6|Агрегаты / сталеплавильные непрерывного действия, вакуумирования и рафинирования стали|9338
31 3441|1|- сталеплавильные непрерывного действия|9339
31 3442|7|- непрерывного вакуумирования|9340
31 3443|2|- порционного вакуумирования|9341
31 3444|8|- струйного рафинирования|9342
31 3450|0|Конверторы и машины для их обслуживания|9343
31 3451|6|Конверторы емкостью до 100 т|9344
31 3452|1|Конверторы емкостью 100 т и свыше|9345
31 3453|7|Машины загрузки скрапа в конвертор|9346
31 3454|2|Машины ремонта кладки футеровки конвертора и ее ломки|9347
31 3455|8|Машины опускания, подъема и замены кислородной фурмы|9348
31 3456|3|Ковши сталеразливочные и оборудование к ним|9349
31 3457|9|Миксеры|9350
31 3458|4|Машины смазки изложниц|9351
31 3459|5|Машины уборки шлака|9352
31 3460|5|Машины и оборудование для мартеновских печей|9353
31 3461|0|Машины загрузки мартеновских печей (машины напольно-завалочные)|9354
31 3462|6|Машины заправки мартеновских печей|9355
31 3463|1|Машины забивки и вскрытия сталевыпускных отверстий мартеновских печей|9356
31 3464|7|Машины ломки и уборки насадок регенераторов|9357
31 3465|2|Машины уборки шлака из шлаковников|9358
31 3466|8|Клапаны и шиберы мартеновских печей|9359
31 3467|3|Машины обслуживания мартеновских печей|9360
31 3480|4|Машины и механизмы для производства ферросплавов|9361
31 3481|6|Смесители и питатели|9362
31 3482|5|Машины шихтоподачи|9363
31 3483|0|Машины разделки летки|9364
31 3484|6|Машины загрузочные|9365
31 3485|1|Ковши футерованные|9366
31 3486|7|Машины разливочные для ферросплавов|9367
31 3487|2|Контейнеры, изложницы, тележки и другие машины и механизмы для загрузки и транспортирования|9368
31 3488|8|Оборудование вспомогательное|9369
31 3500|1|Машины непрерывного литья и оборудование к ним|9370
31 3510|6|Машины непрерывного литья для цветных металлов /|9371
31 3511|1|- вертикальные|9372
31 3512|7|- роторные|9373
31 3513|2|- ленточные|9374
31 3514|8|- валковые|9375
31 3515|3|- горизонтальные|9376
31 3520|0|Машины непрерывного литья для стали (установки непрерывной разливки стали) /|9377
31 3521|6|- вертикальные|9378
31 3522|1|- радиальные|9379
31 3523|7|- криволинейные|9380
31 3524|2|- горизонтальные|9381
31 3530|5|Кристаллизаторы, их приводы, дозаторы, правильно-тянущие машины|9382
31 3531|0|Кристаллизаторы|9383
31 3532|6|Дозаторы|9384
31 3533|1|Машины правильно-тянущие|9385
31 3550|4|Оборудование к машинам непрерывного литья|9386
31 3551|2|Ковши|9387
31 3552|5|Затравки и устройства к ним|9388
31 3553|0|Устройства газорезок|9389
31 3560|9|Механизмы приводные и механизмы для технологического перемещения металла|9390
31 3561|4|Приводы|9391
