FullName|ISOAlpha2|ISOAlpha3|NumericCode|OKSMID|ShortName
|CD|COD|180|98|КОНГО, ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА
Корейская Народно-Демократическая Республика|KP|PRK|408|99|КОРЕЯ, НАРОДНО-ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА
Республика Корея|KR|KOR|410|100|КОРЕЯ, РЕСПУБЛИКА
Республика Коста-Рика|CR|CRI|188|101|КОСТА-РИКА
Республика Кот д’Ивуар|CI|CIV|384|102|КОТ Д’ИВУАР
Республика Куба|CU|CUB|192|103|КУБА
Государство Кувейт|KW|KWT|414|104|КУВЕЙТ
|CW|CUW|531|105|КЮРАСАО
|LA|LAO|418|106|ЛАОССКАЯ НАРОДНО-ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА
Латвийская Республика|LV|LVA|428|107|ЛАТВИЯ
Королевство Лесото|LS|LSO|426|108|ЛЕСОТО
Республика Либерия|LR|LBR|430|109|ЛИБЕРИЯ
Ливанская Республика|LB|LBN|422|110|ЛИВАН
Ливия|LY|LBY|434|111|ЛИВИЯ
Литовская Республика|LT|LTU|440|112|ЛИТВА
Княжество Лихтенштейн|LI|LIE|438|113|ЛИХТЕНШТЕЙН
Великое Герцогство Люксембург|LU|LUX|442|114|ЛЮКСЕМБУРГ
Республика Маврикий|MU|MUS|480|115|МАВРИКИЙ
Исламская Республика Мавритания|MR|MRT|478|116|МАВРИТАНИЯ
Республика Мадагаскар|MG|MDG|450|117|МАДАГАСКАР
|YT|MYT|175|118|МАЙОТТА
Специальный административный регион Китая Макао|MO|MAC|446|119|МАКАО
|MK|MKD|807|120|РЕСПУБЛИКА МАКЕДОНИЯ[2]
Республика Малави|MW|MWI|454|121|МАЛАВИ
|MY|MYS|458|122|МАЛАЙЗИЯ
Республика Мали|ML|MLI|466|123|МАЛИ
|UM|UMI|581|124|МАЛЫЕ ТИХООКЕАНСКИЕ ОТДАЛЕННЫЕ ОСТРОВА СОЕДИНЕННЫХ ШТАТОВ
